Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200005,01,001,3,6,Autauga County                ,94,94,5364344,0,0,0,0,0,0,2,11,358456,59,59,3255203,0,0,0,0,0,0,0,0,0
200005,01,081,3,6,Lee County                    ,165,165,22645013,58,116,5803606,3,9,856976,3,51,2139000,165,165,22645013,58,116,5803606,3,9,856976,3,51,2139000
200005,01,113,3,6,Russell County                ,41,41,3259515,1,2,90000,0,0,0,0,0,0,41,41,3259515,1,2,90000,0,0,0,0,0,0
200005,01,125,3,6,Tuscaloosa County             ,259,259,27308711,3,6,432000,0,0,0,0,0,0,259,259,27308711,3,6,432000,0,0,0,0,0,0
200005,02,013,4,9,Aleutians East Borough        ,1,1,85000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005,02,016,4,9,Aleutians West Census Area    ,2,2,175000,0,0,0,0,0,0,2,16,2292360,2,2,175000,0,0,0,0,0,0,2,16,2292360
200005,02,020,4,9,Anchorage Borough             ,324,324,60037090,42,84,10943272,1,4,583853,3,21,2645061,324,324,60037090,42,84,10943272,1,4,583853,3,21,2645061
200005,02,050,4,9,Bethel Census Area            ,18,18,2021430,0,0,0,0,0,0,0,0,0,18,18,2021430,0,0,0,0,0,0,0,0,0
200005,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005,02,090,4,9,Fairbanks North Star Borough  ,79,79,10012513,0,0,0,1,3,125160,0,0,0,67,67,8800500,0,0,0,0,0,0,0,0,0
200005,02,100,4,9,Haines Borough                ,4,4,302167,0,0,0,0,0,0,0,0,0,2,2,149000,0,0,0,0,0,0,0,0,0
200005,02,110,4,9,Juneau Borough                ,32,32,7394905,2,4,699555,1,4,364312,0,0,0,24,24,6010914,1,2,420706,1,4,364312,0,0,0
200005,02,122,4,9,Kenai Peninsula Borough       ,24,24,3825811,1,2,244000,1,4,243000,0,0,0,20,20,3396611,1,2,244000,1,4,243000,0,0,0
200005,02,150,4,9,Kodiak Island Borough         ,14,14,1919865,3,6,548193,0,0,0,0,0,0,14,14,1919865,3,6,548193,0,0,0,0,0,0
200005,02,170,4,9,Matanuska-Susitna Borough     ,15,15,2085707,0,0,0,0,0,0,1,26,1778807,15,15,2085707,0,0,0,0,0,0,1,26,1778807
200005,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005,02,201,4,9,Prince of Wales-Outer Ketchika,1,1,129086,0,0,0,0,0,0,0,0,0,1,1,129086,0,0,0,0,0,0,0,0,0
200005,02,232,4,9,Skagway-Hoonah-Angoon Census A,10,10,863406,0,0,0,0,0,0,1,10,295000,10,10,863406,0,0,0,0,0,0,1,10,295000
200005,02,261,4,9,Valdez-Cordova Census Area    ,6,6,937133,0,0,0,0,0,0,0,0,0,2,2,459201,0,0,0,0,0,0,0,0,0
200005,02,280,4,9,Wrangell-Petersburg Census Are,7,7,648660,0,0,0,0,0,0,0,0,0,7,7,648660,0,0,0,0,0,0,0,0,0
200005,02,282,4,9,Yakutat Borough               ,1,1,146250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200005,04,013,4,8,Maricopa County               ,14631,14631,1918649556,37,74,8742716,79,301,34813011,373,4527,229591104,13527,13527,1792930339,37,74,8742716,79,301,34813011,367,4478,226968910
